question,answer,category,difficulty
"A team from this city plays against the Los Angeles Kings in the annual preseason ""Frozen Fury"" game. A'ja Wilson  won MVP while leading a team based in this city to the 2022 WNBA title. During the 2023 offseason, the New York Giants acquired Darren Waller from a team in this city. Via a March 2022 trade with the  Packers, a team in this city received Davante Adams. In 2023, the Oakland A’s announced plans to relocate to this city. An NHL team in this city defeated the Florida Panthers to win the 2023 Stanley Cup Finals. For 10 points, name this city, the home of the Raiders and Golden Knights.","Las Vegas ",Trash,3
"In this game, the achievement “Transmission Received” is unlocked by finding hidden radios that play an upbeat version of the song “Still Alive.” Throughout this game and its sequel players can find deranged paintings and messages in “dens” belonging to the Rat-Man. In this game, the first to be set at the  Aperture Science Enrichment Center, the protagonist Chell  is forced to incinerate a Companion Cube and is repeatedly told that “The Cake is a lie”. GLaDOS is the main villain of, for 10 points, what Valve game in which players solve puzzles by using the title blue and orange gateways to teleport?",Portal ,Trash,3
"This artist remarks “I keep a close watch on this heart of mine” in a 1956 song that lends its name to a 2005 biopic starring Joaquin Phoenix as this artist. This artist’s second wife June Carter wrote some of his songs including one where he declares “Love is a burning thing.” This artist, who performed many concerts at  prisons like San Quentin, claimed to have “shot a man in Reno, just to watch him die” in the song “Folsom Prison Blues.” The “Man in Black” moniker was sported by, for 10 points, what country artist who covered Nine Inch Nails’ “Hurt” and performed hits like “Ring of Fire”?",Johnny Cash  ,Trash,3
"One character in this film replies “Qué maravilla”  after being handed an empanada. Another character in this film remarks on the redundancy of saying “naan bread” or “chai tea.”That character from this film, the Karan Soni-played  Pavitr Prabhakar, is a native of Mumbattan. Early in this film, a Renaissance-era flying machine is used by a villain to raid the Guggenheim Museum in New York before he is thwarted by a team led by Jessica Drew and Miguel O’Hara. Hailee Steinfeld reprises her role as Spider-Gwen in, for 10 points, what 2023 animated superhero sequel focusing on Miles Morales?", Spider-Man: Across the Spider-Verse ,Trash,3
"All four of this artist’s albums have been produced by Icelandic film composer Ludwig Göransson including a 2020 album titled for its release date. On a track from the album Because the Internet, this rapper declares “I’ll be right by your side / ‘Til 3005  .” This creator and star of the TV show  Atlanta repeatedly tells the listener “Don't catch you slippin' now” in a 2018 music video in which this artist imitates a Jim Crow-era pose while shooting a hooded figure in the head. This artist’s 2016 album “Awaken, My Love!” spawned the singles “Me and Your Mama” and “Redbone.” For 10 points, name this rapper behind “This is America.”",Donald Glover ,Trash,3
"In a 2023 game, this player was fined for “improper contact” while trying to retrieve a ball from Suns owner Mat Ishbia. Jumping off of the right foot before shooting a high-arching fadeaway is this player’s signature move, the “Sombor Shuffle.” This player was selected with the 41stpick in the 2014 NBA Draft during a  Taco Bell commercial. In the 2023 Western Conference Finals, this player averaged a triple-double while his team swept the Lakers. This player was unanimously named MVP of the 2023 Finals after his team defeated the Miami Heat. The 2021 and 2022 NBA MVP was, for 10 points, what Serbian center for the Denver Nuggets?",Nikola Jokić ,Trash,3
"A character played by this actor is stabbed with the splintered hilt of a baseball bat while at the University of Eastern Colorado. In another show, a character played by this actor receives a set of armor in exchange for killing a Krayt dragon. In a 2010s Netflix series, this actor played the partner of  DEA agent Steve Murphy. This actor plays a bounty hunter who defeats Grand Moff Gideon in a duel. In a 2023 HBO series, a character played by this actor travels across the country with the Bella Ramsey-played Ellie. Joel Miller and Din Djarin were portrayed by, for 10 points, what star of Narcos, The Last of Us and The Mandalorian?",Pedro Pascal ,Trash,3
"A song from this album satirizes the misogyny encountered by the wealthy socialite Rebekah Harkness. A documentary released on Disney+ named for this album is subtitled The Long Pond Studio Sessions. A track from this album begins “I can see you standing, honey / With his arms around your body” in a guest verse by Justin Vernon of  Bon Iver. The listener is told “You put me on and said I was your favorite” in the chorus of this album’s lead single. “Exile” and “Cardigan” are from, for 10 points, what eighth studio album by Taylor Swift, the“sister album” of Evermore?",Folklore ,Trash,3
"An author with this surname wrote a novel in which an interactive and infectious “Dream” is first experienced by graphic designer April May. In a novel by a different author with this surname, Quentin travels to Agloe, New York to find Margo. In 2021, that author with this surname released an essay collection to accompany a podcast titled The  Anthropocene Reviewed. In another novel by an author with this surname, Hazel and Augustus kiss in the Anne Frank House as they develop a relationship while battling terminal cancer. For 10 points, give this surname shared by brothers Hank and John, the latter of whom wrote The Fault in Our Stars.",Green ,Trash,3
"After this character doesn’t show up to his usual assignment for work, he is briefly replaced by a potted plant wearing a paper hat. In one episode, by using a mind-control helmet, this character controls his nemesis and forces him to DJ a party in a junkyard for goth teens. This character occasionally teams up with Pinky the Chihuahua. Various backyard  secret entrances are used by this member of the Organization Without a Cool Acronym to access his underground lair where he receives briefings from Major Monogram. Dr. Doofenshmirtz is the nemesis of, for 10 points, what platypus from Phineas and Ferb?",Perry the Platypus,Trash,3
"Dave Niehaus , the longtime commentator of this team, would yell “get out the rye bread and mustard Grandma” when members of this team hit a grand slam. In the 2022 MLB playoffs, this team lost 1-0 in an 18-inning game to the Houston Astros. In the early 1990s, this team’s lineup featured both  Ken Griffey Jr. and Ken Griffey Sr. This team, the only active team to never make the World Series, ended a 21-year playoff drought in 2022, led by the Rookie of the Year winner Julio Rodríguez. Ichiro Suzuki started his MLB career with this team. For 10 points, name this MLB team based in Washington state.",Seattle Mariners ,Trash,3
"A character in this film finds a bundle of cash inside of a copy of Jean Baudrillard’s book Simulacra and Simulation. Early in this film, the protagonist’s mouth is fused shut and a robotic bug is implanted in his stomach. In one scene, this film’s title entity is likened to “a splinter in your mind,” leading many to interpret this film as a  transgender allegory. This film’s protagonist awakens from a simulation of 1999 New York City to an apocalyptic world ruled by machines after choosing to take the red pill. The Wachowski sisters directed, for 10 points, what 1999 science-fiction film in which Keanu Reeves plays Neo?"," The Matrix ",Trash,3
"A 2023 spinoff of this show focuses on and is named for a Golda Rosheuvel -played character whose husband is prone to sudden fits of praise for the goddess Venus. A man in this show has a traumatic episode while playing croquet with Kate Sharma in which he is reminded of his father's death by  bee sting. In the first episode of this show, Simon Bassett pretends to fall in love with a woman played by Phoebe Dynevor . This show is punctuated by a newsletter written by the mysterious Lady Whistledown. Benedict, Anthony, and Daphne are members of the title family in, for 10 points, what Regency-era Netflix show?",Bridgerton ,Trash,3
"In a blog post titled “We liked you better fat,” this band’s lead singer discussed criticism he received for the solo album Soul Punk. In one song by this band, the singer laments “We’re always sleeping in, and sleeping for the wrong team.” In the lead single from this group’s 2013 comeback album Save Rock and Roll, the listener is repeatedly told to  “Light ‘em up” in the chorus. In June 2023, this band behind “Immortals” and“Sugar, We’re Goin Down” released a critically panned updated version of Billy Joel’s “We Didn’t Start the Fire.”For 10 points, name this rock band behind “My Songs Know What You Did in the Dark” and “Centuries.”",Fall Out Boy ,Trash,3
"As a student, this man was dubbed “Lawful” in a brutalizing psychological study conducted by Henry A. Murray that explored the effect of stress on the human psyche. In his most famous work, this man described the restriction on the thought and actions of ‘oversocialized’ people. The phrase “you can’t eat your cake and have it too,” led to this man’s brother reporting a lead to the FBI. That phrase appears in his  manifesto published in The New York Times in 1995. Earlier in 1979, this author of “Industrial Society and Its Future” attempted to bomb a Boeing 727, and his first successful attack was on Northwestern University. This man was arrested by the FBI in 1996 and was held for a time at “Bomber's Row”. For 10 points, name this eco-terrorist who used the US Postal Service to target universities and airports in his bombings.",Theodore Kaczynski ,Trash,4
"Sepak takraw  is also known as the “kick” version of this sport. This sport originated from William G. Morgan’s Mintonette. Yuji Nishida, a left-handed player in this sport, led Japan to a 7th place finish at the 2020 Olympics. An “attack line” divides this sport’s court into “back row” and “front row”areas.  Liberos, who must wear a different colored jersey, are specialized defense players found in one variation of this sport that allows each team a maximum of three 3 passes per possession. Digs are traditionally tracked alongside aces, kills, and blocks in this sport. Players can pass the ball to a setter who prepares a hit for spikers in, for 10 points, what net- and ball-based sport with court, sand, and grass varieties?",volleyball ,Trash,4
"While his friend is entranced by “A Sunday Afternoon on the Island of La Grande Jatte,” this character kisses his girlfriend in front of a stained glass window. In another kissing scene, a man remarks “so that’s how they do it in their family,” as this character frenches someone believed to be his daughter. He proposes to his girlfriend in the Mercantile Exchange building, but she thinks he’s joking. After the destruction of a  1961 Ferrari, this character offers to take the fall for his best friend, but he refuses. This impersonator of Abe Froman crashes a German parade and starts singing “Twist and Shout” to impress Cameron. Advertisements across Chicago say “Save ” after he claims he needs a kidney transplant. For 10 points, name this character whose “day off” is the subject of a 1986 movie.",Ferris Bueller ,Trash,4
